Case ID,Job Role,Department,Location,Task,Incident Type,Date/Time,Description
DEMO-SIF-101,Rigger,Operations,Unit A,Heavy Crane Lifting,Near Miss,2026-09-05 08:30,"A 2.5-ton compressor skid was lifted over an active process hydrocarbon line without a designated drop zone or tag lines. The secondary lifting sling showed severe fraying."
DEMO-SIF-102,Maintenance Technician,Mechanical,Unit C,Storage Tank Cleaning,Unsafe Act,2026-09-05 09:15,"Contractor entered chemical storage vessel T-104 without continuous atmospheric gas monitoring or an assigned standby rescue person outside the manway."
DEMO-SIF-103,Electrician,Electrical,Unit B,Transformer Substation Maintenance,Unsafe Condition,2026-09-05 11:00,"Work commenced on 415V switchgear without Lockout/Tagout (LOTO) isolation or verification of zero energy state. The live busbar was left exposed."
DEMO-SIF-104,Scaffolder,Mechanical,Unit A,Pipe Rack Access,Unsafe Act,2026-09-05 13:45,"Worker was observed unhooked at a height of 8.5 meters on an incomplete scaffold platform lacking toe boards and mid-rails."
DEMO-SIF-105,Welder,Operations,Unit A,Hot Work on Flange,Near Miss,2026-09-05 15:20,"Oxy-acetylene cutting performed within 3 meters of an un-isolated solvent line. No fire watch or spark containment blankets were deployed."
DEMO-SIF-106,Forklift Operator,Operations,Unit C,Chemical Drum Loading,Unsafe Act,2026-09-06 08:10,"Forklift operated at high speed in the warehouse aisle with an obstructed forward view, narrowly missing a pedestrian crossing the marked walkway."
DEMO-SIF-107,Field Operator,Operations,Unit C,Bulk Acid Transfer,Unsafe Condition,2026-09-06 10:00,"Corroded chemical transfer hose ruptured under 4 bar pressure during sulfuric acid transfer, spraying acid into the secondary containment pit."
DEMO-SIF-108,Instrument Tech,Electrical,Unit B,Transmitter Calibration,Unsafe Condition,2026-09-06 11:30,"Ex-rated junction box in Zone 1 hazardous area was left open with damaged flameproof seals during live transmitter loop testing."
DEMO-SIF-109,Mechanical Fitter,Mechanical,Unit A,Pump Impeller Overhaul,Unsafe Act,2026-09-06 14:00,"Rotating pump coupling guard was removed while motor test run was in progress to inspect shaft alignment without stopping the drive."
DEMO-SAFE-110,Safety Officer,Operations,Unit B,Daily Site Walkthrough,Safety Observation,2026-09-06 16:00,"Maintenance crew verified full 7-step LOTO, calibrated 4-gas detector, and wore all mandatory 100% tie-off PPE before commencing flare header inspection."
